Species	12SRRN	16SRRN	28SRRN	ATP6	ATP8	BDNF	COX1	COX2	COX3	CXCR4	CYTB	NAD1	NAD2	NAD3	NAD4	NAD4L	NAD5	NAD6	NCX1	POMC	RAG1	RAG2	RHOD	SIA	SLC8A3	TYR
Alsodes_pehuenche	JX204178.1	JX204178.1	-	-	-	-	JX203895.1	-	-	-	JX203962.1	JX204020.1	-	-	-	-	-	-	-	-	JX204076.1	-	JX204111.1	JX204244.1	-	-
Alsodes_tumultuosus	JX204186.1	JX204186.1	-	-	-	-	JX203902.1	-	-	-	JX203969.1	JX204025.1	-	-	-	-	-	-	-	-	JX204081.1	-	JX204118.1	JX204250.1	-	-
Alsodes_valdiviensis	JX204188.1	JX204188.1	-	-	-	-	JX203904.1	-	-	-	JX203972.1	JX204026.1	-	-	-	-	-	-	-	-	JX204083.1	-	JX204120.1	JX204252.1	-	-
Alsodes_vanzolinii	JX204189.1	JX204189.1	-	-	-	-	JX203905.1	-	-	-	JX203974.1	-	-	-	-	-	-	-	-	-	JX204084.1	-	JX204121.1	JX204253.1	-	-
Alsodes_verrucosus	JX204192.1	JX204192.1	-	-	-	-	JX203908.1	-	-	-	JX203977.1	JX204028.1	-	-	-	-	-	-	-	-	JX204086.1	-	JX204124.1	JX204256.1	-	-
Altiphrynoides_malcolmi	KF665005.1	KF665285.1	-	-	-	-	KF665785.1	-	-	KF665971.1	-	-	-	-	-	-	-	-	-	-	KF666436.1	-	-	-	-	-
Alytes_cisternasii	KJ858786.1	GU086783.1	-	KJ858928.1	-	-	KJ858874.1	KJ858910.1	KJ858946.1	-	AY442019.1	KJ858820.1	KJ858838.1	KJ858964.1	GU086861.1	KJ858964.1	KJ858987.1	KJ859004.1	-	-	-	-	-	-	-	-
Alytes_dickhilleni	KJ858782.1	AY333710.1	-	KJ858924.1	-	EF407511.1	KJ858870.1	KJ858906.1	KJ858942.1	-	AY442020.1	KJ858816.1	KJ858834.1	KJ858959.1	EF441309.1	KJ858959.1	KJ858983.1	KJ859001.1	-	HM998961.1	JQ073268.1	DQ019517.1	AY341817.1	-	-	EF407506.1
Alytes_maurus	KJ858780.1	AY333711.1	-	KJ858922.1	-	-	KJ858868.1	KJ858904.1	KJ858940.1	-	AY442022.1	KJ858814.1	KJ858832.1	KJ858958.1	EF441312.1	KJ858958.1	KJ858981.1	KJ858999.1	-	-	-	-	AY341816.1	-	-	-
Alytes_muletensis	KJ858784.1	AY341680.1	-	KJ858926.1	-	EF407510.1	KJ858872.1	KJ858908.1	KJ858944.1	-	AY341728.1	KJ858818.1	KJ858836.1	KJ858962.1	KJ858969.1	KJ858962.1	KJ858985.1	KJ859003.1	-	-	AY323755.1	AY323781.1	AY323731.1	-	-	AY341747.1
Alytes_obstetricans	AY585337.1	AY585337.1	DQ283510.1	AY585337.1	AY585337.1	JQ626687.1	AY585337.1	AY585337.1	AY585337.1	AY364170.1	AY585337.1	AY585337.1	AY585337.1	AY585337.1	AY585337.1	AY585337.1	AY585337.1	AY585337.1	AY523703.1	JQ626759.1	AY583334.1	JQ626795.1	AY364385.1	DQ282683.1	EF107345.1	DQ347130.1
Amazophrynella_amazonicola	-	KP681679.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Amazophrynella_bokermanni	JN867536.1	JN867562.1	-	-	-	-	JX298368.1	-	-	-	JX298410.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Amazophrynella_manaos	-	KF433969.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Amazophrynella_matses	-	KP681691.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Amazophrynella_minuta	AY843582.1	AY843582.1	-	-	-	-	DQ502828.1	-	-	DQ306496.1	AY843804.1	-	-	-	-	-	-	-	-	AY819081.1	DQ158346.1	-	AY844555.1	-	-	EF364362.1
Amazophrynella_vote	-	KF433976.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ambystoma_mexicanum	AY659991.1	Y10947.1	-	AY659991.1	AY659991.1	-	AY659991.1	NC_005797.1	AY659991.1	EF107455.1	AY659991.1	AY659991.1	AY659991.1	AY659991.1	AY659991.1	AY659991.1	AY659991.1	AY659991.1	EF107230.1	-	AY323752.1	KC165605.1	DQ283893.1	-	EF107367.1	-
Ameerega_altamazonica	EU517659.1	EU517666.1	-	-	-	-	-	-	-	-	EU517671.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ameerega_bassleri	EU342610.1	EU342610.1	-	-	-	-	-	-	-	-	DQ339062.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
